,Unnamed: 0,min_val_er,last_val_er,num_params,seed,N,model_type
3,36.0,7.650000000000001,7.830000000000004,217082.0,507,3,CifarJOVFPNet
1,29.0,7.789999999999997,7.830000000000004,217082.0,723,3,CifarJOVFPNet
0,28.0,7.940000000000002,8.209999999999997,217082.0,9,3,CifarJOVFPNet
4,38.0,8.089999999999996,8.320000000000006,217082.0,744,3,CifarJOVFPNet
2,35.0,8.27,8.550000000000002,217082.0,16,3,CifarJOVFPNet
8,44.0,7.9899999999999975,8.06,270298.0,9,3,CifarPyrResNet
7,34.0,8.06,8.299999999999997,270298.0,507,3,CifarPyrResNet
5,10.0,8.099999999999996,8.250000000000002,270298.0,723,3,CifarPyrResNet
6,16.0,8.260000000000002,8.540000000000003,270298.0,744,3,CifarPyrResNet
9,53.0,8.309999999999995,8.479999999999999,270298.0,16,3,CifarPyrResNet
10,11.0,7.850000000000001,8.040000000000003,269722.0,16,3,CifarResNet
13,37.0,7.869999999999999,7.889999999999998,269722.0,9,3,CifarResNet
12,32.0,7.889999999999998,8.05,269722.0,723,3,CifarResNet
11,27.0,8.130000000000004,8.289999999999997,269722.0,507,3,CifarResNet
14,57.0,8.309999999999995,8.389999999999997,269722.0,744,3,CifarResNet
15,1.0,6.520000000000002,6.689999999999997,411962.0,744,5,CifarJOVFPNet
18,21.0,6.599999999999994,6.730000000000002,411962.0,16,5,CifarJOVFPNet
17,14.0,6.740000000000002,6.820000000000004,411962.0,723,5,CifarJOVFPNet
19,47.0,6.930000000000002,7.130000000000003,411962.0,9,5,CifarJOVFPNet
16,4.0,7.140000000000002,7.320000000000004,411962.0,507,5,CifarJOVFPNet
20,18.0,6.820000000000004,6.979999999999998,465178.0,16,5,CifarPyrResNet
22,39.0,6.8500000000000005,6.999999999999996,465178.0,507,5,CifarPyrResNet
23,41.0,6.940000000000001,7.15,465178.0,723,5,CifarPyrResNet
21,25.0,7.240000000000002,7.350000000000001,465178.0,9,5,CifarPyrResNet
24,51.0,7.250000000000001,7.3400000000000025,465178.0,744,5,CifarPyrResNet
25,23.0,7.169999999999997,7.169999999999997,464154.0,507,5,CifarResNet
27,48.0,7.210000000000004,7.26,464154.0,723,5,CifarResNet
29,54.0,7.550000000000002,7.640000000000002,464154.0,9,5,CifarResNet
26,46.0,8.009999999999994,8.250000000000002,464154.0,16,5,CifarResNet
28,50.0,8.05,8.05,464154.0,744,5,CifarResNet
34,55.0,5.969999999999998,6.100000000000005,606842.0,744,7,CifarJOVFPNet
30,2.0,6.030000000000002,6.030000000000002,606842.0,9,7,CifarJOVFPNet
33,26.0,6.2899999999999965,6.2899999999999965,606842.0,16,7,CifarJOVFPNet
31,5.0,6.310000000000003,6.489999999999997,606842.0,507,7,CifarJOVFPNet
32,12.0,6.550000000000002,6.7100000000000035,606842.0,723,7,CifarJOVFPNet
35,17.0,6.230000000000002,6.35,660058.0,9,7,CifarPyrResNet
39,49.0,6.25,6.389999999999995,660058.0,507,7,CifarPyrResNet
37,20.0,6.399999999999995,6.510000000000005,660058.0,744,7,CifarPyrResNet
36,19.0,6.499999999999996,6.5799999999999965,660058.0,723,7,CifarPyrResNet
38,40.0,6.669999999999997,6.899999999999995,660058.0,16,7,CifarPyrResNet
40,3.0,6.920000000000004,7.069999999999999,658586.0,744,7,CifarResNet
44,52.0,6.930000000000002,7.089999999999996,658586.0,507,7,CifarResNet
42,31.0,6.999999999999996,7.15,658586.0,723,7,CifarResNet
41,13.0,7.089999999999996,7.310000000000006,658586.0,9,7,CifarResNet
43,45.0,7.599999999999996,7.909999999999995,658586.0,16,7,CifarResNet
46,33.0,5.779999999999997,5.830000000000003,801722.0,744,9,CifarJOVFPNet
47,42.0,5.800000000000005,5.920000000000004,801722.0,9,9,CifarJOVFPNet
45,24.0,5.820000000000002,5.910000000000004,801722.0,16,9,CifarJOVFPNet
49,59.0,5.869999999999997,6.110000000000005,801722.0,723,9,CifarJOVFPNet
48,43.0,5.979999999999998,6.189999999999997,801722.0,507,9,CifarJOVFPNet
50,6.0,5.959999999999999,6.089999999999995,854938.0,507,9,CifarPyrResNet
52,8.0,6.15,6.2100000000000035,854938.0,744,9,CifarPyrResNet
54,58.0,6.269999999999998,6.269999999999998,854938.0,723,9,CifarPyrResNet
51,7.0,6.369999999999997,6.610000000000005,854938.0,9,9,CifarPyrResNet
53,9.0,6.420000000000004,6.610000000000005,854938.0,16,9,CifarPyrResNet
55,0.0,6.599999999999994,6.8599999999999985,853018.0,507,9,CifarResNet
56,15.0,6.599999999999994,6.7100000000000035,853018.0,744,9,CifarResNet
57,22.0,6.720000000000003,6.799999999999995,853018.0,9,9,CifarResNet
59,56.0,6.9899999999999975,6.9899999999999975,853018.0,16,9,CifarResNet
58,30.0,7.130000000000003,7.310000000000006,853018.0,723,9,CifarResNet
78,,7.969999999999999,8.17,216634.0,723,3,CifarJOVFPNet-RNBasic
76,,7.9999999999999964,8.130000000000004,216634.0,9,3,CifarJOVFPNet-RNBasic
75,,8.07,8.220000000000006,216634.0,744,3,CifarJOVFPNet-RNBasic
61,,8.089999999999996,8.330000000000004,216634.0,16,3,CifarJOVFPNet-RNBasic
65,,8.099999999999996,8.320000000000006,216634.0,507,3,CifarJOVFPNet-RNBasic
69,,6.65,6.779999999999998,411066.0,723,5,CifarJOVFPNet-RNBasic
71,,6.779999999999998,6.830000000000003,411066.0,9,5,CifarJOVFPNet-RNBasic
60,,6.799999999999995,7.040000000000002,411066.0,744,5,CifarJOVFPNet-RNBasic
68,,6.859999999999999,7.020000000000004,411066.0,16,5,CifarJOVFPNet-RNBasic
77,,6.9200000000000035,7.240000000000002,411066.0,507,5,CifarJOVFPNet-RNBasic
79,,6.059999999999999,6.2000000000000055,605498.0,723,7,CifarJOVFPNet-RNBasic
63,,6.369999999999997,6.559999999999999,605498.0,744,7,CifarJOVFPNet-RNBasic
70,,6.389999999999995,6.410000000000005,605498.0,507,7,CifarJOVFPNet-RNBasic
64,,6.510000000000005,6.720000000000004,605498.0,16,7,CifarJOVFPNet-RNBasic
62,,6.5799999999999965,6.659999999999999,605498.0,9,7,CifarJOVFPNet-RNBasic
67,,5.9200000000000035,5.949999999999999,799930.0,744,9,CifarJOVFPNet-RNBasic
74,,6.089999999999995,6.130000000000003,799930.0,507,9,CifarJOVFPNet-RNBasic
72,,6.110000000000005,6.2000000000000055,799930.0,9,9,CifarJOVFPNet-RNBasic
73,,6.430000000000002,6.559999999999999,799930.0,723,9,CifarJOVFPNet-RNBasic
66,,6.5799999999999965,6.689999999999996,799930.0,16,9,CifarJOVFPNet-RNBasic
