,min_val_er,last_val_er,num_params,seed,N,model_type
28,7.940000000000003,8.209999999999996,217082.0,9,3,CifarJOVFPNet
29,7.789999999999997,7.830000000000004,217082.0,723,3,CifarJOVFPNet
35,8.27,8.550000000000002,217082.0,16,3,CifarJOVFPNet
36,7.650000000000001,7.830000000000004,217082.0,507,3,CifarJOVFPNet
38,8.089999999999996,8.320000000000006,217082.0,744,3,CifarJOVFPNet
61,8.089999999999996,8.330000000000004,216634.0,16,3,CifarJOVFPNet-RNBasic
65,8.099999999999996,8.320000000000006,216634.0,507,3,CifarJOVFPNet-RNBasic
75,8.07,8.220000000000006,216634.0,744,3,CifarJOVFPNet-RNBasic
76,7.9999999999999964,8.130000000000004,216634.0,9,3,CifarJOVFPNet-RNBasic
78,7.969999999999999,8.17,216634.0,723,3,CifarJOVFPNet-RNBasic
10,8.099999999999996,8.250000000000002,270298.0,723,3,CifarPyrResNet
16,8.260000000000002,8.540000000000003,270298.0,744,3,CifarPyrResNet
34,8.06,8.299999999999997,270298.0,507,3,CifarPyrResNet
44,7.989999999999997,8.06,270298.0,9,3,CifarPyrResNet
53,8.309999999999995,8.479999999999999,270298.0,16,3,CifarPyrResNet
11,7.850000000000001,8.040000000000003,269722.0,16,3,CifarResNet
27,8.130000000000004,8.289999999999997,269722.0,507,3,CifarResNet
32,7.889999999999997,8.05,269722.0,723,3,CifarResNet
37,7.869999999999999,7.889999999999997,269722.0,9,3,CifarResNet
57,8.309999999999995,8.389999999999997,269722.0,744,3,CifarResNet
1,6.520000000000003,6.689999999999996,411962.0,744,5,CifarJOVFPNet
4,7.140000000000002,7.320000000000004,411962.0,507,5,CifarJOVFPNet
14,6.740000000000002,6.820000000000004,411962.0,723,5,CifarJOVFPNet
21,6.599999999999994,6.730000000000002,411962.0,16,5,CifarJOVFPNet
47,6.930000000000003,7.130000000000003,411962.0,9,5,CifarJOVFPNet
60,6.799999999999995,7.040000000000002,411066.0,744,5,CifarJOVFPNet-RNBasic
68,6.859999999999999,7.020000000000004,411066.0,16,5,CifarJOVFPNet-RNBasic
69,6.65,6.779999999999998,411066.0,723,5,CifarJOVFPNet-RNBasic
71,6.779999999999998,6.830000000000003,411066.0,9,5,CifarJOVFPNet-RNBasic
77,6.9200000000000035,7.240000000000002,411066.0,507,5,CifarJOVFPNet-RNBasic
18,6.820000000000004,6.979999999999997,465178.0,16,5,CifarPyrResNet
25,7.240000000000002,7.350000000000001,465178.0,9,5,CifarPyrResNet
39,6.8500000000000005,6.999999999999995,465178.0,507,5,CifarPyrResNet
41,6.940000000000001,7.15,465178.0,723,5,CifarPyrResNet
51,7.250000000000001,7.340000000000002,465178.0,744,5,CifarPyrResNet
23,7.169999999999998,7.169999999999998,464154.0,507,5,CifarResNet
46,8.009999999999994,8.250000000000002,464154.0,16,5,CifarResNet
48,7.210000000000005,7.26,464154.0,723,5,CifarResNet
50,8.05,8.05,464154.0,744,5,CifarResNet
